Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,1,PS (I-V),1,Department of Education,Urban,3,Co-Ed,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,7,7,0,6,3,5,5,7,7,7,0,0,0,0,1,3,0,1,7,7,0,4,3,2,7,0,5,0,2,0,0
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,5,1,0,3,0,1,3,5,5,5,0,0,0,0,0,0,0,0,3,4,0,1,3,0,3,0,1,0,3,0,0
2015-16,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,5,5,0,5,3,4,3,5,5,5,0,0,0,0,0,1,0,0,5,5,1,3,4,4,5,0,1,0,3,0,0
2015-16,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,110,91,0,7,39,78,5,110,110,110,0,0,0,0,22,3,0,0,65,104,0,2,39,0,91,0,22,0,10,0,0
2015-16,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,5,4,0,5,1,3,1,5,5,5,0,0,0,0,0,1,0,0,5,5,0,5,5,2,4,0,2,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,8,6,0,5,1,4,4,8,8,8,0,0,0,0,1,1,0,0,5,8,0,7,6,1,6,0,0,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,3,3,0,3,2,3,2,3,3,3,0,0,0,0,1,2,0,0,3,3,0,3,2,3,3,0,2,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,114,106,0,2,45,109,4,114,114,114,0,0,0,0,37,6,0,0,69,109,0,1,63,1,103,0,58,0,30,0,0
